Gender,Married,Dependents,Education,Employment_Status,Applicant_Income,Coapplicant_Income,Loan_Amount,Loan_Term_Months,Credit_History,Property_Area,Age,Loan_Status,CIBIL_Score,Annual_Household_Income,Debt_to_Income_Ratio,Purpose_of_Loan,Existing_EMIs,Number_of_Previous_Loans,Default_History_Count,Employment_Length_Years,Asset_Value,Guarantor,Co-signer_Relationship,Monthly_Expense,Organization_Type,Region_Branch,Mobile_Verified,Email_Verified,Loan_to_Annual_Income,Customer_Sentiment,State,Occupation
Female,Yes,0,Not Graduate,Self-Employed,25553,21419,974613,360,0,Semiurban,36,Rejected,659,563664,0.501,Home,23520,0,2,0,1615374,No,Friend,11011,Private,CHN-007,Yes,Yes,1.729,Negative,Kerala,Nurse
Female,No,1,Graduate,Salaried,38126,0,846670,240,1,Rural,32,Approved,773,457512,0.591,Business,22545,1,0,1,1253840,Yes,Sibling,26516,Startup,DEL-001,Yes,Yes,1.851,Neutral,Tamil Nadu,Farmer
Male,No,1,Graduate,Salaried,63115,0,6941488,300,1,Rural,36,Approved,811,757380,0.278,Home,17521,0,0,8,1296096,No,Unknown,25969,MNC,MUM-002,Yes,Yes,9.165,Neutral,Tamil Nadu,Delivery Partner
Male,No,1,Not Graduate,Self-Employed,17960,17074,287671,360,0,Urban,64,Approved,598,420408,0.0,Business,0,0,1,4,1810612,Yes,Parent,14135,Private,PUNE-006,Yes,Yes,0.684,Neutral,Gujarat,Driver
Female,Yes,0,Not Graduate,Retired,53684,0,8195681,240,1,Urban,27,Approved,716,644208,0.711,Home,38162,2,0,0,887615,No,Parent,33009,Public,CHN-007,Yes,Yes,12.722,Negative,Gujarat,Medical Representative
Male,Yes,2,Graduate,Salaried,56092,57453,347497,24,1,Urban,37,Approved,719,1362540,0.165,Medical,18724,0,0,1,4826746,No,Parent,46697,Government,HYD-005,Yes,Yes,0.255,Neutral,Tamil Nadu,Small Business Owner
Male,Yes,1,Graduate,Salaried,29319,0,1545607,180,0,Rural,26,Rejected,604,351828,0.777,Business,22783,0,1,3,1198071,Yes,Spouse,9684,Private,HYD-005,Yes,Yes,4.393,Negative,Punjab,Delivery Partner
Male,No,2,Graduate,Self-Employed,10609,0,180121,36,0,Urban,45,Rejected,637,127308,0.0,Personal,0,2,1,5,1224266,No,Spouse,2000,Public,BLR-003,Yes,Yes,1.415,Neutral,Karnataka,IT Consultant
Male,No,0,Not Graduate,Salaried,38270,28204,3411529,360,1,Semiurban,18,Rejected,699,797688,0.706,Business,46922,1,0,0,1968803,Yes,Unknown,25232,Public,KOL-004,Yes,Yes,4.277,Negative,West Bengal,Factory Worker
Female,Yes,1,Not Graduate,Salaried,43293,51761,7633475,180,1,Semiurban,19,Approved,759,1140648,0.0,Home,0,1,0,2,3178586,No,Unknown,49446,MNC,HYD-005,Yes,No,6.692,Negative,Maharashtra,Small Business Owner
Male,Yes,0,Graduate,Salaried,48611,0,52825,36,1,Urban,30,Approved,729,583332,0.926,Personal,44997,0,0,2,1632336,No,Friend,24955,Public,KOL-004,Yes,Yes,0.091,Positive,Kerala,Customer Support Executive
Male,Yes,0,Graduate,Self-Employed,15509,0,342795,12,1,Urban,42,Rejected,609,186108,2.065,Medical,32027,1,0,1,942687,No,Company,3077,Public,PUNE-006,Yes,Yes,1.842,Neutral,Delhi,Civil Engineer
Female,Yes,0,Graduate,Self-Employed,56486,60769,5670008,300,0,Urban,43,Approved,577,1407060,0.008,Home,948,1,0,1,5408344,No,Parent,57837,Government,MUM-002,Yes,Yes,4.03,Positive,Delhi,Shopkeeper
Male,No,0,Graduate,Salaried,97735,0,1673966,360,0,Urban,34,Approved,715,1172820,0.339,Business,33157,0,2,5,3481206,No,Sibling,50190,MNC,PUNE-006,No,Yes,1.427,Positive,Karnataka,Teacher
Male,No,2,Graduate,Salaried,45050,0,395365,24,1,Rural,38,Rejected,797,540600,1.22,Personal,54940,0,0,0,1585962,No,Unknown,15153,Private,HYD-005,Yes,No,0.731,Positive,Gujarat,Farmer
Male,No,1,Not Graduate,Salaried,34900,0,4044564,360,1,Urban,31,Approved,638,418800,0.247,Home,8618,1,0,5,1730208,No,Parent,6351,Private,DEL-001,Yes,Yes,9.658,Negative,Punjab,Bank Officer
Female,No,0,Not Graduate,Self-Employed,9381,0,319925,36,1,Rural,27,Rejected,669,112572,1.987,Education,18637,0,0,0,161653,No,Sibling,2094,Public,DEL-001,Yes,Yes,2.842,Negative,Maharashtra,Nurse
Female,Yes,0,Not Graduate,Self-Employed,3000,0,73556,36,0,Urban,26,Rejected,486,36000,6.873,Education,20619,0,1,1,856022,No,Unknown,3000,Government,KOL-004,Yes,No,2.043,Neutral,West Bengal,Marketing Executive
Female,Yes,1,Graduate,Salaried,54597,0,320019,12,1,Rural,21,Approved,737,655164,0.295,Personal,16114,1,0,1,1459439,No,Unknown,16294,Public,CHN-007,Yes,Yes,0.488,Negative,Uttar Pradesh,Software Engineer
Male,Yes,0,Graduate,Salaried,43481,0,2982596,300,0,Semiurban,32,Rejected,564,521772,0.044,Home,1897,2,0,1,1639761,No,Parent,26314,MNC,DEL-001,Yes,Yes,5.716,Positive,Gujarat,Electrician
Male,No,1,Graduate,Salaried,89792,53231,5329197,240,0,Rural,44,Rejected,673,1716276,0.079,Home,11321,2,2,0,4061666,Yes,Sibling,55817,MNC,BLR-003,Yes,Yes,3.105,Positive,Karnataka,Medical Representative
Male,No,2,Not Graduate,Salaried,22973,19443,365226,24,1,Semiurban,50,Approved,746,508992,0.0,Medical,0,2,0,0,650422,No,Parent,8677,Startup,BLR-003,No,Yes,0.718,Positive,Karnataka,Civil Engineer
Male,No,1,Graduate,Salaried,92535,0,317539,24,0,Semiurban,51,Approved,758,1110420,0.0,Personal,0,0,1,3,3806349,No,Unknown,44338,Private,PUNE-006,Yes,Yes,0.286,Positive,West Bengal,Shopkeeper
Male,No,2,Graduate,Self-Employed,39270,0,4525695,300,1,Semiurban,33,Rejected,633,471240,0.793,Home,31131,1,0,2,1512999,Yes,Unknown,21793,Government,CHN-007,Yes,No,9.604,Positive,West Bengal,Driver
Male,Yes,0,Graduate,Salaried,55899,0,5698029,300,1,Urban,32,Approved,636,670788,0.0,Home,0,0,0,3,1540018,Yes,Spouse,36669,Startup,KOL-004,No,Yes,8.495,Positive,West Bengal,Customer Support Executive
Male,No,0,Graduate,Salaried,33527,0,2059790,240,1,Rural,33,Rejected,686,402324,1.092,Business,36615,1,0,0,1310815,No,Unknown,17320,Public,BLR-003,No,Yes,5.12,Negative,Kerala,Bank Officer
Male,Yes,1,Graduate,Salaried,28605,0,1896751,48,0,Semiurban,40,Rejected,522,343260,1.534,Auto,43883,2,0,2,1534848,No,Sibling,11890,Public,PUNE-006,Yes,Yes,5.526,Neutral,Gujarat,Factory Worker
Male,No,0,Graduate,Self-Employed,33983,0,210899,24,0,Semiurban,27,Rejected,562,407796,1.297,Renovation,44067,1,0,1,764062,No,Parent,14067,Startup,KOL-004,No,Yes,0.517,Neutral,Uttar Pradesh,Electrician
Female,No,1,Not Graduate,Retired,23543,0,1554318,120,0,Rural,18,Rejected,579,282516,0.528,Business,12435,0,1,5,1105184,Yes,Sibling,16565,Startup,MUM-002,Yes,Yes,5.502,Positive,Telangana,Chartered Accountant
Female,Yes,0,Graduate,Salaried,129184,0,3912394,180,1,Urban,34,Approved,663,1550208,0.206,Home,26676,4,0,1,4251475,No,Company,53928,Startup,HYD-005,Yes,No,2.524,Positive,Kerala,Nurse
Male,Yes,2,Graduate,Self-Employed,3000,0,1962548,240,1,Rural,38,Rejected,686,36000,10.47,Business,31409,2,0,0,87189,No,Spouse,3000,Government,HYD-005,Yes,Yes,54.515,Positive,Telangana,Small Business Owner
Male,Yes,0,Graduate,Salaried,60010,0,4336408,240,1,Semiurban,29,Approved,637,720120,0.313,Home,18794,0,0,0,2714054,No,Unknown,29597,Startup,BLR-003,Yes,Yes,6.022,Positive,Maharashtra,Marketing Executive
Male,No,0,Not Graduate,Retired,30506,11887,4606884,360,0,Urban,29,Approved,570,508716,0.0,Home,0,1,0,4,1437277,No,Spouse,20295,Government,BLR-003,Yes,No,9.056,Positive,Tamil Nadu,Small Business Owner
Female,Yes,1,Graduate,Salaried,48860,0,5730018,240,1,Semiurban,46,Approved,643,586320,0.337,Home,16484,0,0,1,1930322,No,Unknown,24270,Startup,CHN-007,Yes,Yes,9.773,Positive,Punjab,Driver
Male,No,0,Graduate,Salaried,62285,4323,1261833,48,0,Semiurban,36,Rejected,555,799296,0.815,Auto,54256,0,2,3,3005465,No,Unknown,33684,Government,PUNE-006,Yes,Yes,1.579,Neutral,Tamil Nadu,Driver
Male,No,1,Graduate,Salaried,27205,0,4192441,180,1,Urban,27,Approved,781,326460,0.488,Home,13277,0,0,4,1299801,No,Spouse,13619,Government,BLR-003,Yes,No,12.842,Negative,Punjab,Bank Officer
Female,No,2,Not Graduate,Salaried,52863,0,490029,36,1,Rural,35,Approved,674,634356,0.941,Personal,49719,0,0,0,1387279,No,Friend,21141,Government,KOL-004,Yes,Yes,0.772,Neutral,Gujarat,Shopkeeper
Male,Yes,0,Not Graduate,Salaried,53000,0,376708,36,1,Urban,38,Approved,842,636000,0.672,Personal,35626,1,0,0,2114109,No,Friend,30434,Public,BLR-003,Yes,No,0.592,Negative,Telangana,Chartered Accountant
Male,No,0,Not Graduate,Salaried,91498,0,1310257,48,1,Urban,35,Approved,616,1097976,0.14,Auto,12853,0,0,2,4199774,Yes,Friend,45597,Private,DEL-001,Yes,No,1.193,Positive,Maharashtra,Software Engineer
Male,Yes,2,Graduate,Salaried,47655,0,367306,36,1,Rural,51,Approved,757,571860,0.0,Education,0,1,0,1,912808,No,Unknown,19106,Startup,BLR-003,Yes,Yes,0.642,Positive,Delhi,Marketing Executive
Male,Yes,1,Graduate,Salaried,92893,0,454376,36,1,Semiurban,40,Approved,696,1114716,0.176,Personal,16355,0,0,1,2811366,Yes,Spouse,42260,Public,MUM-002,Yes,Yes,0.408,Neutral,Karnataka,Factory Worker
Female,Yes,1,Not Graduate,Unemployed,1519,0,492593,36,0,Urban,37,Rejected,687,18228,13.925,Personal,21152,0,1,0,648199,No,Parent,1519,Startup,MUM-002,No,Yes,27.024,Positive,Tamil Nadu,Farmer
Other,No,0,Graduate,Salaried,80579,0,438846,60,1,Rural,18,Approved,718,966948,0.096,Personal,7715,1,0,3,3455474,No,Friend,28950,Government,KOL-004,Yes,Yes,0.454,Neutral,Punjab,Driver
Male,No,1,Graduate,Salaried,94207,0,618302,36,1,Semiurban,38,Approved,740,1130484,0.155,Auto,14601,0,0,2,4611328,No,Unknown,41129,Government,BLR-003,Yes,No,0.547,Positive,Karnataka,Software Engineer
Male,No,1,Graduate,Unemployed,27646,27412,1816200,360,1,Rural,42,Approved,617,660696,0.248,Business,13672,1,0,0,2238858,No,Spouse,24056,Private,KOL-004,Yes,Yes,2.749,Neutral,Delhi,Electrician
Male,Yes,1,Not Graduate,Self-Employed,23796,0,418580,240,0,Urban,28,Approved,580,285552,0.0,Business,0,3,0,0,262856,No,Unknown,12257,MNC,DEL-001,Yes,Yes,1.466,Positive,Gujarat,Electrician
Male,Yes,1,Not Graduate,Salaried,33925,0,635540,36,1,Urban,28,Approved,696,407100,0.116,Personal,3928,1,0,0,2035498,Yes,Spouse,9762,Private,CHN-007,Yes,Yes,1.561,Negative,Punjab,Shopkeeper
Male,No,0,Graduate,Self-Employed,31372,0,501237,360,1,Rural,46,Approved,748,376464,0.0,Home,0,1,0,0,1476595,Yes,Sibling,10439,Startup,KOL-004,Yes,Yes,1.331,Positive,West Bengal,Farmer
Male,No,3,Graduate,Self-Employed,121176,91769,1633540,360,1,Rural,42,Approved,619,2555340,0.056,Business,11950,1,0,0,7000403,Yes,Sibling,93071,Public,KOL-004,Yes,Yes,0.639,Positive,Gujarat,Farmer
Other,No,0,Not Graduate,Salaried,39035,0,2666302,360,1,Semiurban,34,Approved,727,468420,0.042,Business,1638,0,0,0,886972,No,Friend,24131,Private,MUM-002,Yes,No,5.692,Positive,Uttar Pradesh,Small Business Owner
Female,Yes,3,Not Graduate,Self-Employed,68621,67270,5165284,180,1,Semiurban,29,Approved,684,1630692,0.05,Home,6758,3,0,0,5657451,Yes,Spouse,67244,Government,MUM-002,Yes,Yes,3.168,Positive,Kerala,Civil Engineer
Male,Yes,1,Graduate,Self-Employed,25617,7861,2894984,300,1,Rural,42,Approved,706,401736,0.729,Home,24412,1,0,1,1809112,No,Unknown,13481,Public,PUNE-006,Yes,Yes,7.206,Positive,Telangana,Customer Support Executive
Male,Yes,2,Graduate,Salaried,30088,16580,3694530,300,1,Urban,39,Approved,655,560016,0.0,Home,0,0,0,5,2046220,No,Friend,14809,MNC,PUNE-006,Yes,No,6.597,Negative,Uttar Pradesh,Delivery Partner
Male,No,0,Not Graduate,Self-Employed,45832,0,1884,48,1,Rural,35,Approved,657,549984,0.207,Personal,9485,1,0,0,1779561,No,Friend,20009,Private,HYD-005,Yes,Yes,0.003,Negative,West Bengal,Chartered Accountant
Female,No,2,Graduate,Salaried,81379,54960,305955,48,0,Rural,41,Approved,525,1636068,0.0,Personal,0,1,2,0,4467973,No,Sibling,59809,Startup,KOL-004,Yes,Yes,0.187,Positive,Telangana,Bank Officer
Male,No,0,Graduate,Salaried,29274,0,880680,36,1,Rural,39,Approved,602,351288,0.163,Auto,4770,2,0,14,447635,No,Parent,18850,Public,HYD-005,Yes,Yes,2.507,Positive,Uttar Pradesh,Teacher
Male,No,0,Graduate,Self-Employed,65720,23603,354673,24,0,Rural,40,Approved,597,1071876,0.073,Renovation,6516,1,0,2,4121315,No,Friend,43313,MNC,CHN-007,Yes,Yes,0.331,Positive,Telangana,Customer Support Executive
Male,No,0,Graduate,Self-Employed,66933,0,8589894,300,0,Semiurban,26,Approved,561,803196,0.042,Home,2804,0,0,0,1856433,No,Sibling,28681,Startup,KOL-004,Yes,Yes,10.695,Positive,Telangana,Shopkeeper
Male,No,0,Graduate,Salaried,36203,0,12674597,300,1,Urban,18,Approved,789,434436,1.443,Home,52226,2,0,5,894208,Yes,Parent,16274,Public,PUNE-006,Yes,Yes,29.175,Neutral,Punjab,Marketing Executive
Male,Yes,0,Graduate,Self-Employed,52935,0,95162,36,1,Rural,19,Approved,634,635220,0.984,Medical,52081,1,0,2,2450034,Yes,Parent,24525,MNC,BLR-003,No,Yes,0.15,Negative,Maharashtra,Teacher
Male,Yes,1,Graduate,Unemployed,15273,17887,319981,12,1,Urban,28,Approved,633,397920,0.54,Medical,17919,0,0,3,694103,No,Spouse,19353,Public,PUNE-006,Yes,Yes,0.804,Negative,Punjab,Factory Worker
Male,Yes,0,Not Graduate,Salaried,5000,4768,313398,60,1,Urban,22,Rejected,712,117216,2.592,Medical,25318,0,0,11,0,No,Friend,5863,Government,BLR-003,No,Yes,2.674,Positive,Punjab,Civil Engineer
Male,No,0,Graduate,Self-Employed,53105,32609,587708,36,0,Rural,25,Approved,583,1028568,0.224,Personal,19196,1,0,3,2976838,No,Sibling,47420,Startup,CHN-007,Yes,Yes,0.571,Negative,Karnataka,Factory Worker
Female,Yes,0,Graduate,Salaried,53066,66325,1208188,360,1,Semiurban,39,Approved,722,1432692,0.0,Business,0,1,0,2,4259157,No,Spouse,58917,Public,BLR-003,Yes,No,0.843,Negative,Tamil Nadu,Small Business Owner
Male,Yes,2,Graduate,Salaried,21455,0,1014230,48,1,Urban,38,Approved,669,257460,0.0,Auto,0,1,0,0,2044213,Yes,Parent,10568,Startup,BLR-003,Yes,Yes,3.939,Negative,Maharashtra,Driver
Male,No,1,Graduate,Salaried,36438,0,537477,36,1,Semiurban,18,Rejected,680,437256,1.833,Personal,66791,1,0,5,1164067,No,Company,14878,Startup,KOL-004,Yes,Yes,1.229,Neutral,Punjab,Software Engineer
Male,No,2,Graduate,Salaried,40206,0,577589,240,0,Rural,40,Approved,665,482472,0.0,Business,0,1,2,3,1633633,No,Friend,14142,Startup,CHN-007,Yes,No,1.197,Negative,Gujarat,Nurse
Male,No,0,Graduate,Salaried,38127,0,368522,24,1,Urban,29,Approved,717,457524,0.509,Personal,19401,1,0,0,1545660,No,Parent,10588,MNC,PUNE-006,Yes,No,0.805,Positive,Karnataka,Electrician
Male,No,3,Graduate,Unemployed,12104,0,1240453,60,1,Rural,25,Rejected,615,145248,2.708,Business,32773,0,0,0,619387,Yes,Spouse,12104,Private,KOL-004,Yes,Yes,8.54,Negative,Maharashtra,Medical Representative
Female,No,1,Graduate,Unemployed,0,0,1331178,60,1,Rural,34,Rejected,731,0,16401.0,Business,16401,0,0,1,132577,No,Unknown,0,Private,HYD-005,Yes,Yes,100.0,Positive,Delhi,Small Business Owner
Female,Yes,1,Graduate,Salaried,71887,0,2103506,300,0,Urban,23,Approved,727,862644,0.217,Home,15603,1,1,2,2893503,No,Spouse,28636,Startup,PUNE-006,Yes,Yes,2.438,Positive,West Bengal,Delivery Partner
Male,Yes,1,Graduate,Salaried,112111,0,797002,60,1,Urban,35,Approved,692,1345332,0.187,Business,20958,0,0,1,3789820,Yes,Parent,43735,MNC,DEL-001,Yes,Yes,0.592,Neutral,Kerala,Civil Engineer
Female,Yes,1,Not Graduate,Salaried,5000,0,1843844,180,1,Urban,40,Rejected,707,60000,6.075,Business,30377,1,0,0,447586,No,Parent,5000,Startup,MUM-002,Yes,Yes,30.731,Positive,Uttar Pradesh,Chartered Accountant
Male,Yes,0,Not Graduate,Self-Employed,3000,0,9232797,300,0,Urban,46,Rejected,663,36000,6.378,Home,19134,2,1,0,0,No,Friend,2000,Public,HYD-005,Yes,Yes,256.467,Neutral,West Bengal,Farmer
Female,Yes,1,Graduate,Salaried,28345,0,405613,48,0,Rural,31,Rejected,527,340140,0.874,Personal,24773,1,0,2,1606042,No,Friend,7300,MNC,CHN-007,Yes,No,1.192,Neutral,Tamil Nadu,Nurse
Male,No,1,Graduate,Salaried,7914,0,477651,36,1,Urban,32,Rejected,619,94968,6.675,Auto,52827,0,0,0,558046,No,Spouse,3593,Government,BLR-003,Yes,Yes,5.03,Neutral,Gujarat,Medical Representative
Female,Yes,0,Graduate,Salaried,89966,0,880759,36,0,Urban,30,Approved,772,1079592,0.0,Auto,0,0,2,0,2335973,No,Unknown,45795,MNC,BLR-003,Yes,Yes,0.816,Positive,Telangana,Chartered Accountant
Female,Yes,0,Graduate,Salaried,101852,0,116123,60,1,Rural,30,Approved,733,1222224,0.205,Personal,20837,1,0,1,3651599,No,Spouse,42994,Government,HYD-005,Yes,Yes,0.095,Positive,West Bengal,Chartered Accountant
Male,No,0,Not Graduate,Unemployed,7607,5711,294147,48,1,Urban,39,Approved,739,159816,0.0,Personal,0,0,0,2,599683,No,Friend,2000,Government,HYD-005,No,Yes,1.841,Negative,Kerala,Software Engineer
Male,No,0,Graduate,Self-Employed,62582,17966,1760927,120,1,Rural,43,Approved,717,966576,0.406,Home,32709,1,0,2,3441991,No,Company,38696,Private,PUNE-006,Yes,No,1.822,Neutral,Uttar Pradesh,Delivery Partner
Male,Yes,1,Graduate,Salaried,62827,0,1680583,240,0,Semiurban,42,Approved,595,753924,0.285,Business,17904,0,0,3,2749297,Yes,Parent,38819,MNC,HYD-005,Yes,Yes,2.229,Positive,Delhi,Small Business Owner
Male,Yes,1,Not Graduate,Self-Employed,3000,884,7488424,240,1,Semiurban,38,Rejected,654,46608,2.864,Home,11123,1,0,1,278512,No,Spouse,3884,Public,MUM-002,Yes,Yes,160.668,Neutral,Tamil Nadu,Customer Support Executive
Male,No,2,Not Graduate,Salaried,21109,0,5195804,300,1,Rural,39,Approved,625,253308,0.052,Home,1105,1,0,1,760027,Yes,Parent,9452,Private,CHN-007,Yes,Yes,20.512,Negative,Kerala,Nurse
Female,Yes,1,Not Graduate,Salaried,45652,0,75912,60,1,Urban,31,Approved,710,547824,0.0,Renovation,0,1,0,5,1698916,No,Spouse,23293,MNC,DEL-001,Yes,Yes,0.139,Positive,Kerala,Customer Support Executive
Male,Yes,2,Graduate,Salaried,60198,0,275004,24,0,Semiurban,41,Approved,576,722376,0.066,Personal,3989,0,0,4,2784688,No,Spouse,25488,Private,PUNE-006,Yes,No,0.381,Neutral,Uttar Pradesh,Farmer
Male,No,0,Not Graduate,Retired,8922,4127,1585878,36,1,Rural,56,Approved,630,156588,1.323,Auto,17269,2,0,3,615629,No,Company,4956,Public,BLR-003,Yes,Yes,10.128,Negative,Uttar Pradesh,Teacher
Female,Yes,0,Not Graduate,Salaried,69615,29461,1163926,240,1,Rural,40,Approved,615,1188912,0.113,Business,11165,0,0,1,2963600,No,Spouse,38182,Private,PUNE-006,Yes,Yes,0.979,Negative,Punjab,Civil Engineer
Male,No,2,Not Graduate,Salaried,99781,0,4690235,360,0,Rural,29,Rejected,631,1197372,0.0,Home,0,1,1,9,3707466,Yes,Parent,41590,Public,DEL-001,Yes,Yes,3.917,Negative,Uttar Pradesh,Nurse
Female,Yes,3,Graduate,Self-Employed,83511,0,2303560,300,1,Semiurban,54,Approved,680,1002132,0.287,Home,23992,1,0,1,2202565,No,Friend,38503,MNC,PUNE-006,Yes,Yes,2.299,Negative,Punjab,Small Business Owner
Male,No,1,Not Graduate,Self-Employed,3000,1812,336988,36,0,Rural,27,Rejected,553,57744,4.305,Personal,20718,1,1,2,0,No,Spouse,2000,Public,MUM-002,Yes,Yes,5.836,Neutral,Uttar Pradesh,Civil Engineer
Male,No,2,Graduate,Salaried,82923,0,9177416,240,0,Urban,27,Rejected,579,995076,0.464,Home,38505,2,0,1,3287485,No,Company,36546,Private,HYD-005,Yes,Yes,9.223,Positive,Maharashtra,Factory Worker
Male,No,3,Graduate,Salaried,106418,50764,4746311,240,1,Urban,41,Approved,750,1886184,0.01,Home,1554,2,0,6,5521703,No,Unknown,66712,Private,DEL-001,Yes,Yes,2.516,Neutral,Kerala,Civil Engineer
Female,Yes,0,Graduate,Self-Employed,32371,0,389347,180,1,Rural,43,Approved,694,388452,0.872,Business,28239,2,0,1,1211445,No,Parent,12984,Government,HYD-005,Yes,Yes,1.002,Neutral,Uttar Pradesh,Farmer
Male,Yes,0,Graduate,Unemployed,13956,0,1768962,36,1,Semiurban,26,Rejected,612,167472,2.304,Auto,32155,0,0,0,208396,No,Unknown,11815,Startup,CHN-007,Yes,Yes,10.563,Negative,Delhi,Nurse
Male,No,2,Graduate,Salaried,86493,0,160307,300,1,Urban,44,Approved,703,1037916,0.0,Home,0,3,0,2,3639721,No,Spouse,33931,Private,CHN-007,Yes,Yes,0.154,Negative,Delhi,Small Business Owner
Male,Yes,2,Graduate,Salaried,74888,33902,308053,24,1,Rural,39,Approved,633,1305480,0.195,Education,21234,1,0,1,4562141,No,Unknown,32021,Private,BLR-003,Yes,Yes,0.236,Positive,Tamil Nadu,Civil Engineer
Male,No,2,Graduate,Retired,43718,58043,1539936,120,1,Rural,45,Approved,755,1221132,0.195,Business,19872,0,0,6,3423977,No,Unknown,41478,Government,DEL-001,Yes,Yes,1.261,Positive,Maharashtra,Marketing Executive
Male,Yes,0,Graduate,Salaried,98367,0,7028930,300,1,Semiurban,34,Approved,652,1180404,0.125,Home,12252,2,0,3,3234093,Yes,Spouse,45088,Startup,PUNE-006,Yes,Yes,5.955,Negative,Punjab,Government Officer
Male,No,0,Not Graduate,Unemployed,7781,0,4198231,300,1,Urban,35,Rejected,678,93372,2.04,Home,15877,0,0,0,0,No,Sibling,3685,Government,MUM-002,Yes,Yes,44.962,Positive,Gujarat,Chartered Accountant
Female,Yes,0,Graduate,Salaried,59898,84954,2271038,180,1,Urban,44,Approved,811,1738224,0.0,Business,0,1,0,0,5147727,No,Spouse,60148,Government,HYD-005,Yes,Yes,1.307,Positive,Tamil Nadu,IT Consultant
Male,No,1,Not Graduate,Salaried,79239,0,467440,48,1,Rural,39,Approved,690,950868,0.365,Auto,28951,1,0,5,3001532,No,Parent,45484,Public,KOL-004,Yes,Yes,0.492,Positive,Kerala,Software Engineer
Female,Yes,0,Graduate,Salaried,92625,0,339839,24,1,Urban,27,Approved,701,1111500,0.27,Education,24993,2,0,4,3411668,Yes,Parent,50240,Private,HYD-005,Yes,Yes,0.306,Negative,Delhi,Government Officer
Male,No,0,Not Graduate,Self-Employed,3000,0,69275,48,0,Urban,47,Rejected,560,36000,5.757,Personal,17272,1,0,2,321548,Yes,Sibling,2000,Public,DEL-001,Yes,Yes,1.924,Neutral,Tamil Nadu,Government Officer
Female,No,2,Not Graduate,Self-Employed,87579,44170,673923,24,1,Rural,35,Approved,633,1580988,0.0,Medical,0,1,0,4,5027671,No,Parent,62825,Private,DEL-001,Yes,Yes,0.426,Neutral,West Bengal,Delivery Partner
Male,Yes,2,Not Graduate,Salaried,5000,889,1964891,360,1,Semiurban,18,Approved,762,70668,0.0,Home,0,0,0,5,0,No,Unknown,4521,Private,PUNE-006,Yes,No,27.805,Positive,Tamil Nadu,Nurse
